t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::C1::umständlich::original | t1 | C1 | umständlich | original | Grenzüberschreitende Buchungen sind immer noch umständlich, Nachtverbindungen dünn gesät und die Preisgestaltung jenseits des Interrail-Passes wenig wettbewerbsfähig gegenüber Billigfliegern.
t1::C1::dünn gesät::original | t1 | C1 | dünn gesät | original | Grenzüberschreitende Buchungen sind immer noch umständlich, Nachtverbindungen dünn gesät und die Preisgestaltung jenseits des Interrail-Passes wenig wettbewerbsfähig gegenüber Billigfliegern.
t1::C1::die preisgestaltung::original | t1 | C1 | die Preisgestaltung | original | Grenzüberschreitende Buchungen sind immer noch umständlich, Nachtverbindungen dünn gesät und die Preisgestaltung jenseits des Interrail-Passes wenig wettbewerbsfähig gegenüber Billigfliegern.
t1::C1::die investitionsbereitschaft::original | t1 | C1 | die Investitionsbereitschaft | original | Jahrhunderts bekommt, ist letztlich eine Frage des politischen Willens und der Investitionsbereitschaft – nicht der Nachfrage.
t2::A2::german::original | t2 | A2 | german | original | example_sentence_de
t2::A2::german::generated | t2 | A2 | german | generated | example_sentence_de_generated
t2::A2::die ostsee::original | t2 | A2 | die Ostsee | original | April 2026 — NDR.de Surfen an der Ostsee: Ein Sommersport für Jugendliche An der Ostsee in Norddeutschland gibt es viele Surfcamps.
t2::A2::spass machen::original | t2 | A2 | Spaß machen | original | Das Surfen macht viel Spaß.
t2::A2::ruhig::original | t2 | A2 | ruhig | original | Die Ostsee ist ruhiger als der Atlantik.
t2::A2::der anfänger::original | t2 | A2 | der Anfänger | original | Das ist gut für Anfänger.
t2::A2::wohnen::original | t2 | A2 | wohnen | original | Sie wohnen im Camp, essen zusammen und lernen neue Freunde kennen.
t2::A2::freunde kennenlernen::original | t2 | A2 | Freunde kennenlernen | original | Sie wohnen im Camp, essen zusammen und lernen neue Freunde kennen.
t2::A2::das erlebnis::original | t2 | A2 | das Erlebnis | original | Es ist ein tolles Erlebnis.
t2::B1::german::original | t2 | B1 | german | original | example_sentence_de
t2::B1::german::generated | t2 | B1 | german | generated | example_sentence_de_generated
t2::B1::die ostseeküste::original | t2 | B1 | die Ostseeküste | original | April 2026 — NDR.de Surfcamps an der Ostsee: Der Wassersport-Sommer 2026 ist ausgebucht Die Surfcamps an der schleswig-holsteinischen und mecklenburgischen Ostseeküste melden für den Sommer 2026 viele ausgebuchte Wochen.
t2::B1::ausgebucht::original | t2 | B1 | ausgebucht | original | April 2026 — NDR.de Surfcamps an der Ostsee: Der Wassersport-Sommer 2026 ist ausgebucht Die Surfcamps an der schleswig-holsteinischen und mecklenburgischen Ostseeküste melden für den Sommer 2026 viele ausgebuchte Wochen.
t2::B1::die nachfrage::original | t2 | B1 | die Nachfrage | original | Die Nachfrage nach Wassersport-Ferien in Deutschland ist in den letzten Jahren stark gestiegen – besonders bei Jugendlichen zwischen 13 und 19 Jahren.
t2::B1::die teilnehmer::original | t2 | B1 | die Teilnehmer | original | In den Camps können die Teilnehmerinnen und Teilnehmer Windsurfen, Kitesurfen, SUP (Stand-up-Paddling) und klassisches Wellenreiten lernen.
t2::B1::das wellenreiten::original | t2 | B1 | das Wellenreiten | original | In den Camps können die Teilnehmerinnen und Teilnehmer Windsurfen, Kitesurfen, SUP (Stand-up-Paddling) und klassisches Wellenreiten lernen.
t2::B1::die wellenhöhe::original | t2 | B1 | die Wellenhöhe | original | Die Ostsee ist wegen ihrer geringeren Wellenhöhe ideal für Einsteiger.
t2::B1::erfahren::original | t2 | B1 | erfahren | original | Erfahrene Surfer können an windstarken Tagen trotzdem echte Herausforderungen finden.
t2::B1::die herausforderung::original | t2 | B1 | die Herausforderung | original | Erfahrene Surfer können an windstarken Tagen trotzdem echte Herausforderungen finden.
t2::B1::schätzen::original | t2 | B1 | schätzen | original | Eltern schätzen, dass die Camps pädagogisch betreut sind und gleichzeitig viel Freiheit lassen.
t2::B1::betreut::original | t2 | B1 | betreut | original | Eltern schätzen, dass die Camps pädagogisch betreut sind und gleichzeitig viel Freiheit lassen.
t2::B2::german::original | t2 | B2 | german | original | example_sentence_de
t2::B2::german::generated | t2 | B2 | german | generated | example_sentence_de_generated
t2::B2::eine klare sprache sprechen::original | t2 | B2 | eine klare Sprache sprechen | original | April 2026 — NDR.de Ostsee-Surfcamps 2026: Wenn Urlaub zum Lebensgefühl wird Die Buchungszahlen sprechen eine klare Sprache: Wassersport-Feriencamps an der deutschen Ostseeküste sind im Sommer 2026 gefragter denn je.
t2::B2::der betreiber::original | t2 | B2 | der Betreiber | original | Betreiber in Prerow, Kühlungsborn und auf Fehmarn berichten von Wartelisten für die Hauptsaison und einer deutlich gestiegenen Nachfrage aus dem Inland – ein Trend, den Branchenkenner auf eine Kombination aus Nachholeffekten nach der Pandemie, gestiegenen Auslandsreisekosten und wachsendem Interesse an Natursport zurückführen.
t2::B2::die hauptsaison::original | t2 | B2 | die Hauptsaison | original | Betreiber in Prerow, Kühlungsborn und auf Fehmarn berichten von Wartelisten für die Hauptsaison und einer deutlich gestiegenen Nachfrage aus dem Inland – ein Trend, den Branchenkenner auf eine Kombination aus Nachholeffekten nach der Pandemie, gestiegenen Auslandsreisekosten und wachsendem Interesse an Natursport zurückführen.
t2::B2::der branchenkenner::original | t2 | B2 | der Branchenkenner | original | Betreiber in Prerow, Kühlungsborn und auf Fehmarn berichten von Wartelisten für die Hauptsaison und einer deutlich gestiegenen Nachfrage aus dem Inland – ein Trend, den Branchenkenner auf eine Kombination aus Nachholeffekten nach der Pandemie, gestiegenen Auslandsreisekosten und wachsendem Interesse an Natursport zurückführen.
t2::B2::der nachholeffekt::original | t2 | B2 | der Nachholeffekt | original | Betreiber in Prerow, Kühlungsborn und auf Fehmarn berichten von Wartelisten für die Hauptsaison und einer deutlich gestiegenen Nachfrage aus dem Inland – ein Trend, den Branchenkenner auf eine Kombination aus Nachholeffekten nach der Pandemie, gestiegenen Auslandsreisekosten und wachsendem Interesse an Natursport zurückführen.
t2::B2::zurückführen auf::original | t2 | B2 | zurückführen auf | original | Betreiber in Prerow, Kühlungsborn und auf Fehmarn berichten von Wartelisten für die Hauptsaison und einer deutlich gestiegenen Nachfrage aus dem Inland – ein Trend, den Branchenkenner auf eine Kombination aus Nachholeffekten nach der Pandemie, gestiegenen Auslandsreisekosten und wachsendem Interesse an Natursport zurückführen.
t2::B2::die verpflegung::original | t2 | B2 | die Verpflegung | original | Moderne Camps verbinden Wassersportausbildung mit nachhaltigen Konzepten: Solarenergie, vegetarische Verpflegung und lokale Kooperationen mit Biobauern gehören inzwischen zum Standard vieler Anbieter.
t2::B2::der anbieter::original | t2 | B2 | der Anbieter | original | Moderne Camps verbinden Wassersportausbildung mit nachhaltigen Konzepten: Solarenergie, vegetarische Verpflegung und lokale Kooperationen mit Biobauern gehören inzwischen zum Standard vieler Anbieter.
t2::B2::die gemeinschaft::original | t2 | B2 | die Gemeinschaft | original | Die Kombination aus körperlicher Herausforderung, Gemeinschaft und Naturnähe schafft Erfahrungen, die im schulischen Alltag kaum zu machen sind.
t2::B2::die naturnähe::original | t2 | B2 | die Naturnähe | original | Die Kombination aus körperlicher Herausforderung, Gemeinschaft und Naturnähe schafft Erfahrungen, die im schulischen Alltag kaum zu machen sind.
t2::B2::digitallastig::original | t2 | B2 | digitallastig | original | Pädagoginnen und Pädagogen sehen in solchen Angeboten ein wertvolles Komplement zu digitallastigen Freizeitgewohnheiten.
t2::C1::german::original | t2 | C1 | german | original | example_sentence_de
t2::C1::german::generated | t2 | C1 | german | generated | example_sentence_de_generated
t2::C1::vorhersehbar::original | t2 | C1 | vorhersehbar | original | April 2026 — NDR.de Der Surfcamp-Boom an der Ostsee: Über Naturerfahrung, Kommerzialisierung und das Versprechen der Gemeinschaft Dass Surfcamps an der deutschen Ostsee boomen, ist keine Überraschung – es ist das vorhersehbare Ergebnis mehrerer zusammenlaufender Trends.
t2::C1::zusammenlaufend::original | t2 | C1 | zusammenlaufend | original | April 2026 — NDR.de Der Surfcamp-Boom an der Ostsee: Über Naturerfahrung, Kommerzialisierung und das Versprechen der Gemeinschaft Dass Surfcamps an der deutschen Ostsee boomen, ist keine Überraschung – es ist das vorhersehbare Ergebnis mehrerer zusammenlaufender Trends.
t2::C1::die freizeitgestaltung::original | t2 | C1 | die Freizeitgestaltung | original | Steigende Flugreisekosten, ein wachsendes Bewusstsein für naturbasierte Freizeitgestaltung und die pandemiebedingte Neuentdeckung inländischer Urlaubsziele haben die Nachfrage nach Wassersport-Feriencamps in den letzten drei Jahren mehr als verdoppelt.
t2::C1::das naturerleben::original | t2 | C1 | das Naturerleben | original | Surfcamps versprechen – und liefern häufig – etwas, das im Alltag Jugendlicher zunehmend selten geworden ist: körperliche Herausforderung in einer nicht-kompetitiven Umgebung, unmittelbares Naturerleben ohne digitale Vermittlung und soziale Bindungen, die unter gemeinsamen Anstrengungsbedingungen entstehen.
t2::C1::die vermittlung::original | t2 | C1 | die Vermittlung | original | Surfcamps versprechen – und liefern häufig – etwas, das im Alltag Jugendlicher zunehmend selten geworden ist: körperliche Herausforderung in einer nicht-kompetitiven Umgebung, unmittelbares Naturerleben ohne digitale Vermittlung und soziale Bindungen, die unter gemeinsamen Anstrengungsbedingungen entstehen.
t2::C1::die bindung::original | t2 | C1 | die Bindung | original | Surfcamps versprechen – und liefern häufig – etwas, das im Alltag Jugendlicher zunehmend selten geworden ist: körperliche Herausforderung in einer nicht-kompetitiven Umgebung, unmittelbares Naturerleben ohne digitale Vermittlung und soziale Bindungen, die unter gemeinsamen Anstrengungsbedingungen entstehen.
t2::C1::stützen::original | t2 | C1 | stützen | original | Die Forschung zur positiven Jugendentwicklung stützt diese Erfahrungswerte empirisch.
t2::C1::unterliegen::original | t2 | C1 | unterliegen | original | Zugleich unterliegt das Segment einer zunehmenden Kommerzialisierung, die nicht ohne Widersprüche ist.
t2::C1::die zahlungskräftige klientel::original | t2 | C1 | die zahlungskräftige Klientel | original | Premium-Camps mit Wellnessangeboten und Influencer-Kooperationen werben um eine zahlungskräftige Klientel, während günstigere Angebote für einkommensschwächere Familien seltener werden.
t2::C1::die mittelschicht::original | t2 | C1 | die Mittelschicht | original | Die Frage, ob Natursporterfahrungen ein Privileg der Mittelschicht bleiben oder durch öffentliche Förderung breiter zugänglich gemacht werden sollen, wird politisch bislang kaum gestellt.
t3::A2::german::original | t3 | A2 | german | original | example_sentence_de
t3::A2::german::generated | t3 | A2 | german | generated | example_sentence_de_generated
t3::A2::kosten::original | t3 | A2 | kosten | original | April 2026 — tagesschau.de Das Deutschlandticket: Günstig mit dem Zug durch Deutschland Das Deutschlandticket kostet 58 Euro pro Monat.
t3::A2::praktisch::original | t3 | A2 | praktisch | original | Es ist sehr praktisch.
t3::A2::benutzen::original | t3 | A2 | benutzen | original | Viele Jugendliche benutzen das Ticket in den Sommerferien.
t3::A2::die berge::original | t3 | A2 | die Berge | original | Sie fahren zum Beispiel an die Ostsee oder in die Berge.
t3::A2::umweltfreundlich::original | t3 | A2 | umweltfreundlich | original | Das Ticket ist günstig und umweltfreundlich.
t3::A2::kündigen::original | t3 | A2 | kündigen | original | Man kann das Ticket jeden Monat kaufen und auch wieder kündigen.
t3::A2::flexibel::original | t3 | A2 | flexibel | original | Das ist sehr flexibel.
t3::A2::toll::original | t3 | A2 | toll | original | Besonders junge Menschen finden das Ticket toll.
t3::B1::german::original | t3 | B1 | german | original | example_sentence_de
t3::B1::german::generated | t3 | B1 | german | generated | example_sentence_de_generated
t3::B1::die einführung::original | t3 | B1 | die Einführung | original | April 2026 — tagesschau.de Deutschlandticket im Sommer: Günstig reisen durch alle 16 Bundesländer Das Deutschlandticket ist seit seiner Einführung 2023 eines der erfolgreichsten Nahverkehrsprojekte in Deutschland.
t3::B1::das nahverkehrsprojekt::original | t3 | B1 | das Nahverkehrsprojekt | original | April 2026 — tagesschau.de Deutschlandticket im Sommer: Günstig reisen durch alle 16 Bundesländer Das Deutschlandticket ist seit seiner Einführung 2023 eines der erfolgreichsten Nahverkehrsprojekte in Deutschland.
t3::B1::der inhaber::original | t3 | B1 | der Inhaber | original | Für 58 Euro im Monat können Inhaberinnen und Inhaber alle Busse, S-Bahnen, U-Bahnen und Regionalbahnen in ganz Deutschland nutzen – ohne Aufpreis und ohne Reservierung.
t3::B1::der aufpreis::original | t3 | B1 | der Aufpreis | original | Für 58 Euro im Monat können Inhaberinnen und Inhaber alle Busse, S-Bahnen, U-Bahnen und Regionalbahnen in ganz Deutschland nutzen – ohne Aufpreis und ohne Reservierung.
t3::B1::das inland::original | t3 | B1 | das Inland | original | Besonders in den Sommerferien nutzen viele Jugendliche das Ticket für günstige Reisen im Inland.
t3::B1::die geduld::original | t3 | B1 | die Geduld | original | Mit dem Ticket und etwas Geduld kann man zum Beispiel von München an die Ostseeküste fahren oder den Schwarzwald erkunden.
t3::B1::erkunden::original | t3 | B1 | erkunden | original | Mit dem Ticket und etwas Geduld kann man zum Beispiel von München an die Ostseeküste fahren oder den Schwarzwald erkunden.
t3::B1::inbegriffen::original | t3 | B1 | inbegriffen | original | Fernzüge der Deutschen Bahn sind jedoch nicht inbegriffen.
t3::B1::bemängeln::original | t3 | B1 | bemängeln | original | Kritiker bemängeln, dass das Ticket in strukturschwachen Regionen wenig nützt, weil das ÖPNV-Angebot dort dünn ist.
t3::B1::strukturschwach::original | t3 | B1 | strukturschwach | original | Kritiker bemängeln, dass das Ticket in strukturschwachen Regionen wenig nützt, weil das ÖPNV-Angebot dort dünn ist.
t3::B2::german::original | t3 | B2 | german | original | example_sentence_de
t3::B2::german::generated | t3 | B2 | german | generated | example_sentence_de_generated
t3::B2::die bilanz::original | t3 | B2 | die Bilanz | original | April 2026 — tagesschau.de Deutschlandticket: Drei Jahre nach der Einführung – Bilanz eines politischen Experiments Das Deutschlandticket feiert in diesem Sommer seinen dritten Geburtstag – und die Bilanz ist ambivalent.
t3::B2::auf der habenseite::original | t3 | B2 | auf der Habenseite | original | Auf der Habenseite stehen mehr als 13 Millionen Abonnentinnen und Abonnenten, ein messbarer Rückgang des Pkw-Aufkommens in Großstädten und eine gestiegene Mobilität einkommensschwächerer Bevölkerungsgruppen.
t3::B2::der rückgang::original | t3 | B2 | der Rückgang | original | Auf der Habenseite stehen mehr als 13 Millionen Abonnentinnen und Abonnenten, ein messbarer Rückgang des Pkw-Aufkommens in Großstädten und eine gestiegene Mobilität einkommensschwächerer Bevölkerungsgruppen.
t3::B2::die einkommensschwächere bevölkerungsgruppe::original | t3 | B2 | die einkommensschwächere Bevölkerungsgruppe | original | Auf der Habenseite stehen mehr als 13 Millionen Abonnentinnen und Abonnenten, ein messbarer Rückgang des Pkw-Aufkommens in Großstädten und eine gestiegene Mobilität einkommensschwächerer Bevölkerungsgruppen.
t3::B2::auf der sollseite::original | t3 | B2 | auf der Sollseite | original | Auf der Sollseite: eine nach wie vor offene Finanzierungsfrage und ein strukturell unvollständiges Nahverkehrsangebot in ländlichen Regionen.
t3::B2::ermässigt::original | t3 | B2 | ermäßigt | original | Mehrere Bundesländer bieten ermäßigte oder kostenlose Varianten für Schülerinnen und Schüler an.
t3::B2::die umsteigezeit::original | t3 | B2 | die Umsteigezeit | original | Wer flexibel ist und Umsteigezeiten in Kauf nimmt, kann damit günstig einen Großteil Deutschlands erkunden.
t3::B2::ausserhalb der reichweite::original | t3 | B2 | außerhalb der Reichweite | original | Reisende berichten von spontanen Entdeckungen: Städte, die ohne teures Bahnticket außerhalb der Reichweite geblieben wären.
t3::B2::streiten::original | t3 | B2 | streiten | original | Bund und Länder streiten seit Monaten über die Finanzierung.
t3::B2::die mobilitätswende::original | t3 | B2 | die Mobilitätswende | original | Ein Ende des Angebots würde nicht nur Millionen Abonnenten treffen, sondern auch ein Signal senden: dass der politische Wille zur Mobilitätswende seine Grenzen hat, sobald es ans Geld geht.
t3::C1::german::original | t3 | C1 | german | original | example_sentence_de
t3::C1::german::generated | t3 | C1 | german | generated | example_sentence_de_generated
t3::C1::auf der kippe stehen::original | t3 | C1 | auf der Kippe stehen | original | Es hat in drei Jahren mehr Menschen in den öffentlichen Nahverkehr gebracht als alle Kampagnen und Förderprogramme der Jahrzehnte zuvor – und es steht dennoch permanent auf der Kippe, weil die Frage seiner Finanzierung politisch nicht grundsätzlich geklärt wurde.
t3::C1::die strukturelle spannung::original | t3 | C1 | die strukturelle Spannung | original | Die strukturelle Spannung ist evident: Das Ticket ist flächen- und angebotsneutral – es verbilligt Mobilität dort, wo bereits ein gutes Angebot existiert, und ändert dort wenig, wo Busse nur einmal täglich fahren oder gar nicht.
t3::C1::angebotsneutral::original | t3 | C1 | angebotsneutral | original | Die strukturelle Spannung ist evident: Das Ticket ist flächen- und angebotsneutral – es verbilligt Mobilität dort, wo bereits ein gutes Angebot existiert, und ändert dort wenig, wo Busse nur einmal täglich fahren oder gar nicht.
t3::C1::voraussetzen::original | t3 | C1 | voraussetzen | original | Das Ticket löst die Netzfrage nicht – es setzt sie voraus.
t3::C1::eröffnen::original | t3 | C1 | eröffnen | original | Es eröffnet einen experimentellen Umgang mit Mobilität: spontan, stationsgebunden, explorativ.
t3::C1::der umgang mit::original | t3 | C1 | der Umgang mit | original | Es eröffnet einen experimentellen Umgang mit Mobilität: spontan, stationsgebunden, explorativ.
t3::C1::das kulturpolitische instrument::original | t3 | C1 | das kulturpolitische Instrument | original | In diesem Sinne ist das Deutschlandticket auch ein kulturpolitisches Instrument – ob das seinen Erfindern bewusst war oder nicht.
t3::C1::jährlich neu verhandelt::original | t3 | C1 | jährlich neu verhandelt | original | Bislang lautet die Antwort: jährlich neu verhandelt, also: ungeklärt.
t4::A2::german::original | t4 | A2 | german | original | example_sentence_de
t4::A2::german::generated | t4 | A2 | german | generated | example_sentence_de_generated
t4::A2::betreuen::original | t4 | A2 | betreuen | original | Sie betreuen Kinder und Jugendliche.
t4::A2::der sommerjob::original | t4 | A2 | der Sommerjob | original | Das ist ein toller Sommerjob.
t4::A2::der betreuer::original | t4 | A2 | der Betreuer | original | Als Betreuer verdient man nicht viel Geld.
t4::A2::die unterkunft::original | t4 | A2 | die Unterkunft | original | Aber man bekommt Unterkunft und Essen.
t4::A2::mindestens::original | t4 | A2 | mindestens | original | Man muss mindestens 18 Jahre alt sein.
t4::A2::der erste-hilfe-kurs::original | t4 | A2 | der Erste-Hilfe-Kurs | original | Ein Erste-Hilfe-Kurs ist oft notwendig.
t4::A2::notwendig::original | t4 | A2 | notwendig | original | Ein Erste-Hilfe-Kurs ist oft notwendig.
t4::A2::die semesterferien::original | t4 | A2 | die Semesterferien | original | Viele Universitätsstudenten machen diesen Job in den Semesterferien.
t4::B1::german::original | t4 | B1 | german | original | example_sentence_de
t4::B1::german::generated | t4 | B1 | german | generated | example_sentence_de_generated
t4::B1::der jugendreiseveranstalter::original | t4 | B1 | der Jugendreiseveranstalter | original | April 2026 — Süddeutsche Zeitung Sommerjob als Betreuer: Wenn Arbeit wie Urlaub ist Jedes Jahr suchen Jugendreiseveranstalter in Deutschland Tausende von Betreuerinnen und Betreuern für ihre Sommercamps.
t4::B1::verantwortungsvoll::original | t4 | B1 | verantwortungsvoll | original | Der Job ist kein klassischer Ferienjob – er ist intensiv, verantwortungsvoll und gleichzeitig eines der abwechslungsreichsten Erlebnisse, die man mit 20 haben kann.
t4::B1::abwechslungsreich::original | t4 | B1 | abwechslungsreich | original | Der Job ist kein klassischer Ferienjob – er ist intensiv, verantwortungsvoll und gleichzeitig eines der abwechslungsreichsten Erlebnisse, die man mit 20 haben kann.
t4::B1::rund um die uhr::original | t4 | B1 | rund um die Uhr | original | Wer als Betreuer arbeitet, ist rund um die Uhr für eine Gruppe von Kindern oder Jugendlichen verantwortlich.
t4::B1::konflikte lösen::original | t4 | B1 | Konflikte lösen | original | Man organisiert Aktivitäten, löst Konflikte, kümmert sich um Sicherheit und sorgt dafür, dass alle eine gute Zeit haben.
t4::B1::die bezahlung::original | t4 | B1 | die Bezahlung | original | Die Bezahlung ist gering – oft nur ein Taschengeld plus Unterkunft und Verpflegung.
t4::B1::das taschengeld::original | t4 | B1 | das Taschengeld | original | Die Bezahlung ist gering – oft nur ein Taschengeld plus Unterkunft und Verpflegung.
t4::B1::die verpflegung::original | t4 | B1 | die Verpflegung | original | Die Bezahlung ist gering – oft nur ein Taschengeld plus Unterkunft und Verpflegung.
t4::B1::die persönlichkeit::original | t4 | B1 | die Persönlichkeit | original | Viele Betreuerinnen und Betreuer berichten, dass der Job ihre Persönlichkeit verändert hat.
t4::B1::verantwortung übernehmen::original | t4 | B1 | Verantwortung übernehmen | original | Sie haben gelernt, Verantwortung zu übernehmen, Geduld zu haben und in Gruppen zu führen.
t4::B1::die fähigkeit::original | t4 | B1 | die Fähigkeit | original | Diese Fähigkeiten sind später im Studium und im Beruf sehr wertvoll.
t4::B2::german::original | t4 | B2 | german | original | example_sentence_de
t4::B2::german::generated | t4 | B2 | german | generated | example_sentence_de_generated
t4::B2::der bedarf::original | t4 | B2 | der Bedarf | original | April 2026 — Süddeutsche Zeitung Betreuer im Feriencamp: Ein Sommerjob, der mehr ist als Geldverdienen Der Markt für Feriencamps in Deutschland wächst – und damit auch der Bedarf an qualifizierten Betreuerinnen und Betreuern.
t4::B2::die saisonkraft::original | t4 | B2 | die Saisonkraft | original | Große Veranstalter wie ruf Jugendreisen, Freebird oder das Jugendwerk der AWO suchen jedes Jahr zusammen mehr als 10.000 Saisonkräfte für ihre Sommer-Programme.
t4::B2::übersteigen::original | t4 | B2 | übersteigen | original | Die Nachfrage übersteigt das Angebot, wie viele Anbieter berichten.
t4::B2::erfordern::original | t4 | B2 | erfordern | original | Der Job erfordert mehr als gute Laune.
t4::B2::die interkulturelle kompetenz::original | t4 | B2 | die interkulturelle Kompetenz | original | Wer internationale Camps betreut, braucht interkulturelle Kompetenz.
t4::B2::die schulung::original | t4 | B2 | die Schulung | original | Große Veranstalter bieten vor dem Sommer mehrtägige Schulungen an.
t4::B2::zuzüglich::original | t4 | B2 | zuzüglich | original | Finanziell ist der Job wenig attraktiv: Das Taschengeld liegt zwischen 200 und 400 Euro pro Woche, zuzüglich freier Unterkunft und Verpflegung.
t4::B2::die bewerberin / der bewerber::original | t4 | B2 | die Bewerberin / der Bewerber | original | Was viele Bewerberinnen und Bewerber dennoch anzieht, ist die Kombination aus Abenteuer, Gemeinschaft und dem Gefühl, wirklich gebraucht zu werden.
t4::B2::die personalverantwortlichen::original | t4 | B2 | die Personalverantwortlichen | original | Personalverantwortliche berichten, dass viele ehemalige Betreuer den Job als einen der prägendsten ihrer Jugend bezeichnen.
t4::B2::prägend::original | t4 | B2 | prägend | original | Personalverantwortliche berichten, dass viele ehemalige Betreuer den Job als einen der prägendsten ihrer Jugend bezeichnen.
t4::C1::german::original | t4 | C1 | german | original | example_sentence_de
t4::C1::german::generated | t4 | C1 | german | generated | example_sentence_de_generated
t4::C1::das informelle lernen::original | t4 | C1 | das informelle Lernen | original | April 2026 — Süddeutsche Zeitung Der Betreuer-Job als Bildungserfahrung: Was Feriencamps jungen Erwachsenen lehren In der Debatte über informelles Lernen und außerschulische Kompetenzentwicklung werden Feriencamps selten erwähnt.
t4::C1::die transformative erfahrung::original | t4 | C1 | die transformative Erfahrung | original | Dabei bieten sie eines der dichtesten Umgebungen für das, was Bildungsforscher als transformative Erfahrung bezeichnen: einen Kontext, in dem junge Menschen echte Verantwortung übernehmen, scheitern können und dennoch unterstützt werden.
t4::C1::schlichten::original | t4 | C1 | schlichten | original | Wer einen Sommer lang 15 Jugendliche betreut – ihren Streit schlichtet, ihre Niedergeschlagenheit auffängt, ihre Begeisterung kanalisiert und dabei selbst regelmäßig überfordert ist – hat mehr über Führen, Kommunizieren und Empathie gelernt als in vielen Seminaren.
t4::C1::auffangen::original | t4 | C1 | auffangen | original | Wer einen Sommer lang 15 Jugendliche betreut – ihren Streit schlichtet, ihre Niedergeschlagenheit auffängt, ihre Begeisterung kanalisiert und dabei selbst regelmäßig überfordert ist – hat mehr über Führen, Kommunizieren und Empathie gelernt als in vielen Seminaren.
t4::C1::kanalisieren::original | t4 | C1 | kanalisieren | original | Wer einen Sommer lang 15 Jugendliche betreut – ihren Streit schlichtet, ihre Niedergeschlagenheit auffängt, ihre Begeisterung kanalisiert und dabei selbst regelmäßig überfordert ist – hat mehr über Führen, Kommunizieren und Empathie gelernt als in vielen Seminaren.
t4::C1::empirisch gut belegt::original | t4 | C1 | empirisch gut belegt | original | Das ist keine Romantisierung, sondern eine empirisch gut belegte These: Studien zur Entwicklung sozial-emotionaler Kompetenzen zeigen konsistent, dass intensive Gruppenverantwortung ein besonders wirksames Lernformat ist.
t4::C1::unterschätzen::original | t4 | C1 | unterschätzen | original | Dennoch bleibt der Betreuer-Job gesellschaftlich unterschätzt.
t4::C1::die niedriglöhne::original | t4 | C1 | die Niedriglöhne | original | Die Niedriglöhne signalisieren, dass Arbeit mit Kindern und Jugendlichen ökonomisch gering bewertet wird – ein Muster, das sich in der gesamten Care-Ökonomie wiederfindet.
t4::C1::die care-ökonomie::original | t4 | C1 | die Care-Ökonomie | original | Die Niedriglöhne signalisieren, dass Arbeit mit Kindern und Jugendlichen ökonomisch gering bewertet wird – ein Muster, das sich in der gesamten Care-Ökonomie wiederfindet.
t4::C1::bereit sein::original | t4 | C1 | bereit sein | original | Vielleicht ist das die eigentliche Lektion des Betreuer-Jobs: nicht nur, was man lernt, sondern auch, was die Gesellschaft für diese Arbeit zu zahlen bereit ist.
t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::A2::german::generated | t1 | A2 | german | generated | example_sentence_de_generated
t1::A2::wettbewerb::original | t1 | A2 | Wettbewerb | original | Der Eurovision Song Contest ist ein großer Musikwettbewerb in Europa.
t1::A2::wettbewerb::generated | t1 | A2 | Wettbewerb | generated | Sie nehmen an einem Wettbewerb teil.
t1::A2::publikum::original | t1 | A2 | Publikum | original | Das Publikum und eine Jury wählen den Gewinner.
t1::A2::publikum::generated | t1 | A2 | Publikum | generated | Das Publikum klatscht laut.
t1::A2::jury::original | t1 | A2 | Jury | original | Das Publikum und eine Jury wählen den Gewinner.
t1::A2::jury::generated | t1 | A2 | Jury | generated | Die Jury entscheidet den Sieger.
t1::A2::gewinner::original | t1 | A2 | Gewinner | original | Das Publikum und eine Jury wählen den Gewinner.
t1::A2::gewinner::generated | t1 | A2 | Gewinner | generated | Der Gewinner bekommt einen Preis.
t1::A2::hauptstadt::original | t1 | A2 | Hauptstadt | original | Das ist die Hauptstadt von Österreich.
t1::A2::hauptstadt::generated | t1 | A2 | Hauptstadt | generated | Berlin ist die Hauptstadt von Deutschland.
t1::A2::künstler::original | t1 | A2 | Künstler | original | Ein österreichischer Künstler hat 2025 gewonnen.
t1::A2::künstler::generated | t1 | A2 | Künstler | generated | Der Künstler singt sehr gut.
t1::A2::fernsehen::original | t1 | A2 | Fernsehen | original | Menschen schauen den Wettbewerb im Fernsehen.
t1::A2::fernsehen::generated | t1 | A2 | Fernsehen | generated | Wir schauen abends Fernsehen.
t1::A2::spass::original | t1 | A2 | Spaß | original | Der Eurovision macht sehr viel Spaß.
t1::A2::spass::generated | t1 | A2 | Spaß | generated | Das Spiel macht viel Spaß.
t1::A2::fan::original | t1 | A2 | Fan | original | Auch viele Deutsche, Schweizer und Österreicher sind Fans.
t1::A2::fan::generated | t1 | A2 | Fan | generated | Sie ist ein großer Fan von BTS.
t1::A2::jahr::original | t1 | A2 | Jahr | original | In diesem Jahr findet der Eurovision in Wien statt.
t1::A2::jahr::generated | t1 | A2 | Jahr | generated | Dieses Jahr fahren wir nach Wien.
t1::A2::wählen::original | t1 | A2 | wählen | original | Das Publikum und eine Jury wählen den Gewinner.
t1::A2::wählen::generated | t1 | A2 | wählen | generated | Wir wählen zusammen den besten Song.
